hole_id;depth_from;depth_to;LITH
C170903;13;14;SAP
C170903;14;15;SAP
C170903;15;16;SAP
C170903;16;16.45;SAP
C170903;16.45;17;SAP
C170903;17;18;SAP
C170903;18;19;SAP
C170903;19;20;SAP
C170903;20;21;SAP
C170903;21;22;SAP
C170903;22;23;SAP
C170903;23;24;SAP
C170903;24;25;SAP
C170903;25;26;BR
C170904;0;1;LIM
C170904;1;2;LIM
C170904;2;3;LIM
C170904;3;4;LIM
C170904;4;5;LIM
C170904;5;6;LIM
C170904;6;7;LIM
C170904;7;8;LIM
C170904;8;9;LIM
C170904;9;10;LIM
C170904;10;11;LIM
C170904;11;11.6;SAP
C170904;11.6;12;SAP
C170904;12;13;SAP
C170904;13;14;SAP
C170904;14;15;SAP
C170904;15;16;SAP
C170904;16;17;SAP
C170904;17;17.75;BR
C170904;17.75;18;BR
C170904;18;18.4;BR
C170904;18.4;19;BR
C170904;19;20;BR
C170904;20;21;BR
C170904;21;21.7;BR
C170904;21.7;22;BR
C170904;22;22.7;BR
C170904;22.7;23;BR
C170904;23;24;BR
C170905;0;1;LIM
C170905;1;2;LIM
C170905;2;3;LIM
C170905;3;4;LIM
C170905;4;5;LIM
C170905;5;6;LIM
C170905;6;7;SAP
C170905;7;8;SAP
C170905;8;9;SAP
C170905;9;10;SAP
C170905;10;11;SAP
C170905;11;12;SAP
C170905;12;13;SAP
C170905;13;14;SAP
C170905;14;15;SAP
C170905;15;16;SAP
C170905;16;16.65;SAP
C170905;16.65;17;SAP
C170905;17;18;SAP
C170905;18;18.5;BR
C170905;18.5;19;BR
C170905;19;20;BR
C170905;20;21;BR
C170906;0;1;LIM
C170906;1;2;LIM
C170906;2;3;LIM
C170906;3;4;LIM
C170906;4;5;LIM
C170906;5;6;LIM
C170906;6;7;LIM
C170906;7;8;LIM
C170906;8;9;LIM
C170906;9;10;LIM
C170906;10;11;LIM
C170906;11;12;LIM
C170906;12;12.65;LIM
C170906;12.65;13;SAP
C170906;13;14;SAP
C170906;14;15;SAP
C170906;15;16;SAP
C170906;16;17;SAP
C170906;17;18;SAP
C170906;18;19;SAP
C170906;19;20;SAP
C170906;20;21;SAP
C170907;0;1;LIM
C170907;1;2;LIM
C170907;2;3;LIM
C170907;3;4;LIM
C170907;4;5;LIM
C170907;5;6;LIM
C170907;6;7;LIM
C170907;7;8;LIM
C170907;8;9;LIM
C170907;9;10;LIM
C170907;10;11;SAP
C170907;11;12;SAP
C170907;12;12.25;SAP
C170907;12.25;12.6;SAP
C170907;12.6;13;SAP
C170907;13;13.5;SAP
C170907;13.5;14;SAP
C170907;14;14.65;SAP
C170907;14.65;15;SAP
C170907;15;15.35;SAP
C170907;15.35;16;SAP
C170907;16;17;BR
C170907;17;17.55;BR
C170907;17.55;18;BR
C170907;18;19;BR
C170907;19;20;BR
C170907;20;21;BR
C170907;21;22;BR
C170907;22;23;BR
C170907;23;24;BR
C170908;0;1;LIM
C170908;1;2;LIM
C170908;2;3;LIM
C170908;3;4;LIM
C170908;4;5;LIM
C170908;5;6;LIM
C170908;6;7;LIM
C170908;7;8;LIM
C170908;8;9;LIM
C170908;9;10;LIM
C170908;10;11;LIM
C170908;11;11.8;LIM
C170908;11.8;12;SAP
C170908;12;13;SAP
C170908;13;14;SAP
C170908;14;15;SAP
C170908;15;16;SAP
C170908;16;17;SAP
C170908;17;18;SAP
C170908;18;18.5;SAP
C170908;18.5;19;SAP
C170908;19;20;SAP
C170908;20;20.3;SAP
C170908;20.3;20.6;SAP
C170908;20.6;21;SAP
C170908;21;21.35;SAP
C170908;21.35;21.7;SAP
C170908;21.7;22;SAP
C170908;22;22.65;SAP
C170908;22.65;23;SAP
C170908;23;24;SAP
C170908;24;25;SAP
C170908;25;26;SAP
C170908;26;27;SAP
C170908;27;28;SAP
C170908;28;29;SAP
C170908;29;30;SAP
C170908;30;31;SAP
C170908;31;32;SAP
C170908;32;33;SAP
C170908;33;34;SAP
C170908;34;35;SAP
C170908;35;36;BR
C170908;36;36.5;BR
C170909;0;1;LIM
C170909;1;2;LIM
C170909;2;3;LIM
C170909;3;4;LIM
C170909;4;5;LIM
C170909;5;6;LIM
C170909;6;7;LIM
C170909;7;8;LIM
C170909;8;9;LIM
C170909;9;10;LIM
C170909;10;11;LIM
C170909;11;12;LIM
C170909;12;13;LIM
C170909;13;14;LIM
C170909;14;15;LIM
C170909;15;16;LIM
C170909;16;17;LIM
C170909;17;18;LIM
C170909;18;19;SAP
C170909;19;20;SAP
C170909;20;21;SAP
C170909;21;22;SAP
C170909;22;23;BR
C170909;23;24;BR
C170909;24;25;BR
C170909;25;25.5;BR
C170938;0;1;LIM
C170938;1;2;LIM
C170938;2;3;LIM
C170938;3;4;LIM
C170938;4;5;LIM
C170938;5;6;LIM
C170938;6;6.6;LIM
C170938;6.6;7;SAP
C170938;7;8;SAP
C170938;8;9;SAP
C170938;9;10;SAP
C170938;10;10.6;SAP
C170938;10.6;11;BR
C170938;11;12;BR
C170938;12;12.4;BR
C170938;12.4;13;BR
C170938;13;14;BR
C170938;14;15;BR
C170938;15;15.5;BR
C170938;15.5;16;BR
C170938;16;17;BR
C170938;17;17.4;BR
C170938;17.4;18;BR
C170938;18;19;BR
C170939;0;1;LIM
C170939;1;2;LIM
C170939;2;3;LIM
C170939;3;4;LIM
C170939;4;5;LIM
C170939;5;6;LIM
C170939;6;7;LIM
C170939;7;8;LIM
C170939;8;9;LIM
C170939;9;10;LIM
C170939;10;11;LIM
C170939;11;12;SAP
C170939;12;13;SAP
C170939;13;14;SAP
C170939;14;15;SAP
C170939;15;16;SAP
C170939;16;17;BR
C170939;17;18;BR
C170939;18;19;BR
C170939;19;20;BR
C170940;0;1;LIM
C170940;1;2;LIM
C170940;2;3;LIM
C170940;3;4;LIM
C170940;4;5;LIM
C170940;5;6;LIM
C170940;6;7;LIM
C170940;7;8;LIM
C170940;8;9;LIM
C170940;9;9.5;LIM
C170940;9.5;10;LIM
C170940;10;11;LIM
C170940;11;12;LIM
C170940;12;12.55;SAP
C170940;12.55;13;SAP
C170940;13;14;SAP
C170940;14;14.5;SAP
C170940;14.5;15;SAP
C170940;15;15.4;SAP
C170940;15.4;16;SAP
C170940;16;16.35;SAP
C170940;16.35;17;SAP
C170940;17;17.4;SAP
C170940;17.4;18;SAP
C170940;18;19;SAP
C170940;19;19.35;SAP
C170940;19.35;20;SAP
C170940;20;20.3;SAP
C170940;20.3;21;SAP
C170940;21;22;BR
C170940;22;22.7;BR
C170940;22.7;23;BR
C170940;23;23.45;BR
C170940;23.45;24;BR
C170941;0;1;LIM
C170941;1;2;LIM
C170941;2;3;LIM
C170941;3;4;LIM
C170941;4;5;LIM
C170941;5;6;LIM
C170941;6;7;LIM
C170941;7;8;LIM
C170941;8;9;LIM
C170941;9;9.5;LIM
C170941;9.5;10;LIM
C170941;10;10.35;SAP
C170941;10.35;11;SAP
C170941;11;11.5;SAP
C170941;11.5;12;SAP
C170941;12;13;SAP
C170941;13;14;BR
C170941;14;14.7;BR
C170941;14.7;15;BR
C170941;15;16;BR
C170941;16;17;BR
C170941;17;18;BR
C170941;18;19;BR
C170941;19;20;BR
C170942;0;1;LIM
C170942;1;2;LIM
C170942;2;3;LIM
C170942;3;4;LIM
C170942;4;5;LIM
C170942;5;6;LIM
C170942;6;7;LIM
C170942;7;8;LIM
C170942;8;9;LIM
C170942;9;10;SAP
C170942;10;11;SAP
C170942;11;12;SAP
C170942;12;12.55;SAP
C170942;12.55;13;SAP
C170942;13;14;SAP
C170942;14;15;SAP
C170942;15;15.7;SAP
C170942;15.7;16;SAP
C170942;16;17;SAP
C170942;17;18;BR
C170942;18;19;BR
C170942;19;20;BR
C170942;20;20.6;BR
C170942;20.6;21;BR
C170942;21;22;BR
C170942;22;23;BR
C170942;23;24;BR
